,model,Brand,os,rating,price,ProcessorName,ProcessorNoCores,ProcessorSpeed,RamSize,RomSize,BatteryCapacity,DisplaySize,DisplayRefreshRate,ExternalCardSupport,3G,4G,G5,Vo5G,SingleSim,DualSim,VoLTE,IRBlaster,Wi-Fi,NFC,TotalMpCameras,log_price
657,Zanco Tiny T1,Zanco,Otro SO,,2799.0,32 MB RAM,0,2.2,8.0,0.0,5000.0,0.49,60,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.937017489515454
665,itel it2163S,itel,Otro SO,,958.0,4 MB RAM,0,2.2,8.0,0.0,5000.0,1.8,60,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.86484777797086
669,Honor Magic 4 Pro Plus 5G,Honor,Android,,94990.0,Snapdragon  8 Gen1,8,2.2,12.0,224.0,4600.0,6.76,120,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,63.0,11.461526901884229
682,LG V60 ThinQ,LG,Android,,79990.0,Snapdragon  865,8,2.84,8.0,128.0,5000.0,6.8,60,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,90.0,11.289656905842868
685,Xiaomi Qin 1,Xiaomi,Android,,1799.0,Helio MT6260A,0,2.2,8.0,0.0,1480.0,2.8,60,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.4949862339505335
689,Vivo Y02 (2GB RAM + 32GB),Vivo,Android,,7999.0,Helio,8,2.2,2.0,32.0,5000.0,6.51,60,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,13.0,8.987071812848821
690,itel Vision 3 (2GB RAM + 32GB),itel,Android,,5785.0,Unisoc  SC9863a,8,1.6,2.0,32.0,5000.0,6.6,60,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,21.0,8.663023639627777
699,Samsung Guru GT-E1215,Samsung,Otro SO,,1850.0,800 mAh Battery,0,2.2,8.0,0.0,5000.0,6.5,60,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.52294091807237
703,Oppo Find N 5G,Oppo,Android,,92249.0,Snapdragon  888,8,2.84,8.0,224.0,4500.0,7.1,120,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,111.0,11.432246721735618
721,Asus ROG Phone 6D Ultimate,Asus,Android,,107990.0,Dimensity 9000 Plus,8,3.2,16.0,224.0,5750.0,6.78,165,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,80.0,11.589793909226806
732,Vivo X80 Pro Plus 5G,Vivo,Android,,82990.0,Snapdragon 8+ Gen1,8,3.2,12.0,224.0,4500.0,6.78,120,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,82.0,11.326475397592494
735,Tecno Pop 5 Go,Tecno,Android,,6999.0,Spreadtrum  SC7731,4,1.3,1.0,16.0,4000.0,6.1,60,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,13.0,8.85352256068954
736,Huawei P50 Pro 4G,Huawei,Otro SO,,60999.0,Snapdragon 888,8,2.84,8.0,224.0,4360.0,6.6,120,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,63.0,11.018612749578452
738,Nokia C01 Plus,Nokia,Android,,5249.0,Unisoc  SC9863A,8,1.6,2.0,16.0,3000.0,5.45,60,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,10.0,8.5657928612523
742,Oppo Find X3 Pro,Oppo,Android,,50990.0,Snapdragon  888 ,8,2.84,12.0,224.0,4500.0,6.7,120,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,82.0,10.839384814049202
744,itel S16,itel,Android,,5990.0,Unisoc SC7731E,4,1.3,1.0,16.0,4000.0,6.5,60,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,21.0,8.697846691109495
748,Nokia 400 4G,Nokia,Otro SO,,3290.0,2000 mAh Battery,0,2.2,8.0,0.0,5000.0,6.5,60,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,8.098642843759418
754,Apple iPod Touch (7th Gen),Apple,Otro SO,,18900.0,32 GB inbuilt,0,2.2,8.0,0.0,5000.0,6.5,60,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.846917201047734
757,Karbonn KU3i,Karbonn,Otro SO,,995.0,52 MB RAM,0,2.2,8.0,0.0,5000.0,1.8,60,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.902742737158593
761,Honor 80 Pro Plus,Honor,Android,,54990.0,Snapdragon 8 Gen1 ,8,2.2,12.0,224.0,4500.0,6.78,120,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,172.0,10.91490662950186
769,Vivo X Note 5G (12GB RAM + 512GB),Vivo,Android,,82990.0,Snapdragon 8 Gen1,8,2.2,12.0,224.0,5000.0,6.5,120,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,66.0,11.326475397592494
777,Oppo Find X5 Pro 5G,Oppo,Android,,79990.0,Snapdragon 8 Gen1,8,2.2,8.0,224.0,5000.0,6.7,120,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,145.0,11.289656905842868
785,Xiaomi 12 Ultra 5G,Xiaomi,Android,,75999.0,Snapdragon 8+ Gen1,8,3.2,12.0,224.0,4800.0,6.73,120,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,170.0,11.238475461287166
790,Xiaomi Mi Mix Fold,Xiaomi,Android,,109990.0,Snapdragon  888 ,8,2.84,12.0,224.0,5020.0,8.01,90,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,105.0,11.608144731551162
